,cluster_id,genes,size,reactome_term,reactome_name,reactome_pval
0,-1,"['ARFIP2', 'EDDM3B', 'HACD3']",3,R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,0.04801921342468818
1,0,"['A1BG', 'B3GNTL1', 'C10orf90', 'C19orf18', 'CPT1C', 'GCGR', 'H4C13', 'HEXD', 'MAFG', 'MYADM', 'PTRHD1', 'PYCR1', 'SECTM1', 'TIMP2', 'WNT5B', 'ZNF473']",16,R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,0.03285431938432548
2,1,"['A1CF', 'AHSA1', 'ARHGAP15', 'ASB17', 'CALR3', 'CCR4', 'CD163', 'CRTAM', 'DEFB118', 'EFHC2', 'FAR2', 'FLVCR2', 'GPR87', 'ICA1', 'ITGA1', 'KIF9', 'LIPK', 'OTOR', 'PCDHGA9', 'PGC', 'PON1', 'RGS9', 'RNF141', 'RNF19A', 'SEC31B', 'SLAMF6', 'SLC19A2', 'SMURF1', 'SOCS4', 'SPG11', 'SUSD5', 'TDRD5', 'TXK', 'WDR19', 'XKR9', 'YBX2', 'ZNF404']",37,R-HSA-8939242,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,0.003650740892786053
3,2,"['A2M', 'ADAMTS13', 'AOX1', 'CEMIP', 'CHRNA1', 'CLDN11', 'CPNE9', 'DNAH11', 'DSCAML1', 'ELFN1', 'KLHL40', 'LRRC4B', 'NUP210', 'PHLDB1', 'PLEKHG6', 'PML', 'PNMA8B', 'PRSS55', 'QSOX1', 'RAB31', 'RFPL4B', 'SAG', 'SFTPC', 'SH2D4B', 'SLC12A5', 'ST6GALNAC6', 'TFDP3', 'TLCD5', 'TMPRSS13', 'ZFYVE28', 'ZNF251', 'ZNF763', 'ZNF777']",33,R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors,0.07217232414265462
4,3,"['A2ML1', 'ADGRL4', 'ANKRD28', 'ATP8A1', 'BMT2', 'C4BPA', 'CASP1', 'CHRM2', 'DEFB126', 'DPPA4', 'DUSP6', 'FKBP15', 'FOXR2', 'GLYATL1', 'GRM6', 'KERA', 'LONP2', 'LPCAT2', 'MAN1B1', 'MINDY3', 'MS4A14', 'MSANTD4', 'PCDHGA6', 'PLD5', 'PPP3CC', 'PRKCB', 'PRSS54', 'RAB27A', 'RAD51AP1', 'RASSF3', 'RTN1', 'SH3GL2', 'SLC25A21', 'SNX13', 'SPATA48', 'SPTLC3', 'SUV39H2', 'TEK', 'TPRX1', 'ZNF529', 'ZNF573', 'ZNF585B', 'ZNF669', 'ZNF728']",44,R-HSA-114516,Disinhibition of SNARE formation,0.08071380277992213
5,4,"['A3GALT2', 'ADCK2', 'ANTKMT', 'AVPI1', 'CBLN2', 'CHRNE', 'DKK3', 'DLK1', 'FFAR4', 'FUT4', 'H1-8', 'HNRNPA3', 'IGFBP3', 'KLF16', 'KRTAP29-1', 'MBD4', 'MGST2', 'PKDCC', 'SCARF1', 'SYDE1', 'TMEM178A', 'ZIC5']",22,R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands,0.002893588939041458
6,5,"['A4GALT', 'ACKR3', 'APTX', 'ARSL', 'ART5', 'ATP10B', 'ATXN7L1', 'BATF3', 'CARD10', 'CDNF', 'CHRNA2', 'COLEC11', 'CREB3L3', 'DCDC2', 'DIP2C', 'DOP1A', 'DRD4', 'EPM2A', 'ESPN', 'F12', 'FAM131A', 'GLB1L2', 'HHIP', 'HOXA3', 'LEF1', 'LMNTD2', 'MAVS', 'P2RX1', 'PCDHA5', 'PDGFB', 'PIDD1', 'PNCK', 'PPP1R3B', 'PRKCG', 'PSPN', 'PTPRN2', 'RASAL1', 'RHOU', 'RNF113B', 'SASH3', 'SHISA4', 'SIRT3', 'SLC40A1', 'SLC43A2', 'SYN1', 'TBC1D4', 'TBL1X', 'TG', 'THBS2', 'TMEM74B', 'WNT4', 'XPC', 'ZNF710']",53,R-HSA-8951430,RUNX3 regulates WNT signaling,0.11774401730714845
7,6,"['A4GNT', 'ACBD7', 'AFAP1', 'AOPEP', 'BAAT', 'BBOX1', 'BEX3', 'BMP3', 'C4orf17', 'C7orf31', 'CALB2', 'CASP8', 'CCDC152', 'CCDC172', 'CD47', 'CDK19', 'COX7B2', 'DFFA', 'DZANK1', 'EPHA6', 'EYA4', 'FCER1A', 'FRMD3', 'HELLS', 'IL2', 'IMPG1', 'IRAK1BP1', 'ITFG1', 'ITGB3BP', 'KIAA0408', 'KRTAP20-1', 'LEKR1', 'LEPROTL1', 'LYRM1', 'LYSMD3', 'METTL21C', 'METTL6', 'MGAT4D', 'MICU3', 'MOSPD2', 'MOXD1', 'MPP7', 'MYPN', 'N4BP2L2', 'NABP1', 'NEK3', 'NEUROD6', 'OMD', 'PABIR3', 'PACRGL', 'PCLO', 'PIBF1', 'PLPP3', 'RBM12B', 'RIMOC1', 'RTL4', 'SCEL', 'SLX4IP', 'SMCO1', 'STX19', 'TMEM182', 'TMEM212', 'TRIM59', 'VTA1', 'WDFY1', 'WDR31', 'WWOX', 'ZNF215', 'ZNF880']",69,R-HSA-205025,NADE modulates death signalling,0.06377965617289738
8,7,"['AAAS', 'AGRP', 'ANKRD24', 'ASB16', 'ATP5IF1', 'BICDL2', 'C16orf90', 'C6orf226', 'CATSPERD', 'CYP2U1', 'DAG1', 'DNASE1', 'EBI3', 'FAM131C', 'FBXL22', 'GNB2', 'HCFC1R1', 'HNRNPAB', 'IDH1', 'IRAK1', 'ITGA6', 'KREMEN2', 'LENG9', 'MAP6D1', 'MAP7D3', 'NFAT5', 'NME1', 'NMRAL1', 'NOXO1', 'PAQR4', 'PDIA3', 'PECR', 'PRDX4', 'PTTG1', 'RND2', 'RSRP1', 'SCRN2', 'SH3GLB2', 'STH', 'TMEM223', 'TMEM82', 'TNFRSF12A', 'TRAP1', 'VAT1', 'XXYLT1', 'ZNF213']",46,R-HSA-446107,Type I hemidesmosome assembly,0.10121403806277418
9,8,"['AACS', 'ASTN1', 'BTBD1', 'CBLIF', 'CHST14', 'CLDN9', 'DGLUCY', 'ENO2', 'GOLIM4', 'KIF26A', 'NFATC2', 'PEA15', 'PHLDA2', 'RASSF7', 'SLC39A1', 'SLPI', 'SSR1', 'TEX22', 'TMED7', 'TMEM115', 'TMEM234', 'TSPAN4', 'WRNIP1']",23,R-HSA-2025928,Calcineurin activates NFAT,0.05690947110851574
