,genes,x_coord,y_coord,x_coord_plot,y_coord_plot,cluster_id
0,A1BG,-3.7116973,9.828101,-3.8083787,9.896153,0
1,A1CF,13.031252,5.874182,11.987468,6.276187,1
2,A2M,-1.9349438,11.763181,-0.8862404,11.197274,2
3,A2ML1,15.92298,10.825205,14.324044,9.983202,3
4,A3GALT2,15.30222,3.1365514,14.307606,2.346984,4
5,A4GALT,-4.970788,11.822909,-4.399569,11.503188,5
6,A4GNT,13.415634,0.95799994,12.53438,-0.27579716,6
7,AAAS,-2.2234604,-0.1704127,-1.3604274,2.8499546,7
8,AACS,-5.407065,6.1206346,-5.845079,5.6312795,8
9,AADAC,15.882391,11.1163435,14.0725975,10.3964815,9
10,AADACL2,0.17849374,12.883859,4.449425,9.964567,10
11,AADACL3,9.883592,1.0790164,7.5579853,2.3030767,11
12,AADACL4,-1.2298721,2.1645546,-2.3052669,2.381977,12
13,AADAT,17.036745,5.870106,16.475819,5.479523,13
14,AAGAB,5.488678,8.504264,5.2336445,10.488053,14
15,AAK1,0.87075627,3.9524217,-0.82225776,4.017106,15
16,AAMDC,-4.3104124,6.751708,-2.5653896,5.1001596,16
17,AAMP,2.9202447,4.9597826,0.98678005,6.374199,17
18,AANAT,-1.5476152,0.1795356,1.2963071,4.411022,18
19,AAR2,13.359632,0.13878429,13.218273,0.26849195,19
20,AARD,-1.2245438,-0.52867997,0.53543806,-0.7183141,20
21,AARS1,10.200109,6.055234,9.456783,6.478378,21
22,AARS2,4.757282,2.3484175,2.7847235,2.5771878,22
23,AARSD1,3.7254806,0.69635826,7.682555,6.4436035,23
24,AASDH,-4.2151947,1.6003003,4.419245,-2.3045745,24
25,AASDHPPT,8.41904,2.6582258,4.2183104,10.917139,25
26,AASS,6.9489484,16.423391,7.555227,16.013788,26
27,AATF,2.8572402,1.7652789,2.3347273,-0.5078159,27
28,AATK,0.2717887,3.429157,0.07340887,6.1248274,28
29,ABAT,-2.388114,6.6747074,-1.0748343,9.364629,29
30,ABCA1,4.052621,-6.334948,6.021505,-6.84244,30
31,ABCA10,14.534394,8.97878,13.931966,8.429111,31
32,ABCA12,0.18079653,12.8868065,4.4500713,9.964258,10
33,ABCA13,15.105458,8.90829,14.408655,8.371948,31
34,ABCA2,1.4810171,8.104794,-6.2950068,5.631009,32
35,ABCA3,5.895112,15.441418,4.6337647,16.422907,33
36,ABCA4,5.4821854,-6.345521,4.914604,-6.155708,34
37,ABCA5,14.3815565,10.752618,15.036044,8.076018,35
38,ABCA6,12.217419,-3.456721,11.601813,-3.9366496,36
39,ABCA7,0.8005151,10.872146,2.1969926,13.739613,37
40,ABCA8,13.574027,3.205274,13.337911,2.9631188,38
41,ABCA9,14.5109005,9.008659,13.888995,8.436496,31
42,ABCB1,12.3736515,11.380517,14.881627,11.860942,39
43,ABCB10,7.3973947,7.8434253,5.148509,10.345519,40
44,ABCB11,9.1577425,7.5424514,8.560418,6.182661,41
45,ABCB4,5.1048,15.78443,4.6066203,17.04893,42
46,ABCB5,12.091701,-2.2221098,13.469186,-2.4782481,43
47,ABCB6,-6.3940387,4.8608785,-7.751742,3.860547,44
48,ABCB7,2.6180615,8.528723,3.7691612,9.352718,45
49,ABCB8,-2.9129446,8.983289,-1.3901234,12.776756,46
50,ABCB9,-6.4228334,4.8525257,-7.7247424,3.876955,44
51,ABCC1,11.694944,6.574323,8.634128,8.698682,47
52,ABCC10,5.8979936,8.782963,1.7149265,10.786108,48
53,ABCC11,1.1622195,-3.276507,2.7948349,-2.2932506,49
54,ABCC12,10.4598675,6.9303756,8.705363,7.270203,50
55,ABCC2,9.320275,12.764328,8.194691,12.484363,51
56,ABCC3,-0.24890178,-2.4328377,-1.7349536,-1.972614,52
57,ABCC4,2.3725867,10.730897,1.245187,9.585629,53
58,ABCC5,3.2713897,2.9764297,9.2224655,10.26441,54
59,ABCC6,6.906816,1.4655415,10.489079,-0.14398858,55
60,ABCC8,2.1641257,11.189744,-1.8011119,3.8097167,56
61,ABCC9,-4.944154,3.1853197,-4.8386865,4.525953,57
62,ABCD1,8.697675,6.5109415,6.486728,4.0246964,58
63,ABCD2,15.478902,1.6630632,16.142467,1.5337996,59
64,ABCD3,11.528604,1.0936345,11.470994,-0.26450542,60
65,ABCD4,-5.473357,1.6025202,2.8625972,0.46590418,61
66,ABCE1,8.383551,4.2559767,5.7954187,7.220693,62
67,ABCF1,4.3933935,-0.84722924,-2.1791468,4.1978817,63
68,ABCF3,10.982253,15.569998,10.563262,14.924623,64
69,ABCG1,14.919729,8.992826,14.566734,8.734991,31
70,ABCG2,6.538824,14.065003,5.2317324,13.747251,65
71,ABCG4,2.6082115,2.4819562,1.8213595,0.35217533,66
72,ABCG5,-1.1034204,-5.364542,0.48115543,-4.764978,67
73,ABCG8,3.4123607,10.076508,5.6213055,11.420955,68
74,ABHD1,7.9492226,8.829451,0.93509495,3.3988297,69
75,ABHD10,4.560673,-4.7943,5.5598044,-2.9559605,70
76,ABHD11,2.635705,8.53465,3.7650027,9.359072,45
77,ABHD12,12.561939,-0.70524,14.716172,-0.038112793,71
78,ABHD12B,-5.7938943,-0.41591743,-5.4990983,-0.015654068,72
79,ABHD13,13.356671,13.646614,12.002494,13.2974205,73
80,ABHD14A,-6.873769,1.6495743,-5.862826,3.4445443,74
81,ABHD14B,3.104398,0.79118156,1.6664834,1.0923676,75
82,ABHD15,7.003985,-3.0383773,7.0061316,-1.6448958,76
83,ABHD16A,-6.936951,7.798216,-4.7905836,7.34889,77
84,ABHD16B,-1.8093415,15.531402,-1.6012609,13.52173,78
85,ABHD17A,-0.6276155,11.996937,4.831426,12.205321,79
86,ABHD17B,15.716331,4.622865,14.332822,5.0074453,80
87,ABHD17C,0.56588393,13.375392,0.2637789,13.191603,81
88,ABHD18,7.3786573,16.302631,7.596058,16.468746,82
89,ABHD2,10.619446,9.499522,8.314474,14.359857,83
90,ABHD3,10.7185,1.2285602,3.1938052,4.405396,84
91,ABHD4,2.774102,16.929474,2.0342772,16.572483,85
92,ABHD5,4.407559,6.7949157,3.469245,6.820332,86
93,ABHD6,4.7163033,4.301685,10.273359,4.4520645,87
94,ABHD8,-3.824142,12.968659,-2.9099739,11.757097,88
95,ABI1,6.4354157,5.8195224,6.6658278,1.6867379,89
96,ABI2,2.6923158,14.614978,3.0617824,16.17992,90
97,ABI3,3.024742,11.320383,0.3571824,8.882481,91
98,ABI3BP,7.6613173,16.375738,7.884541,15.892174,82
99,ABITRAM,15.70625,4.571407,14.172004,4.8199887,80
100,ABL1,2.1764584,6.7488294,5.454381,8.823131,92
101,ABL2,-6.5436783,4.5889606,-7.6647286,4.01768,44
102,ABLIM1,13.245453,12.170424,13.696689,13.673284,93
103,ABLIM2,11.293437,-4.2560873,10.7179365,-3.3615837,94
104,ABLIM3,-4.225508,1.6061721,-7.553788,6.282201,24
105,ABR,-2.9134421,10.830692,-1.8930591,8.948566,95
106,ABRA,1.6868042,13.547687,0.14763297,14.500237,96
107,ABRACL,13.868227,0.34059525,12.746206,0.62186414,97
108,ABRAXAS1,2.800415,-2.2999523,2.7900944,-3.2547734,98
109,ABRAXAS2,-0.60875154,5.772684,0.41193655,-1.4916524,99
110,ABT1,2.876117,1.7391709,2.1786628,-0.55953777,27
111,ABTB1,2.71477,14.600683,3.039512,16.211815,90
112,ABTB2,5.8545623,13.456862,5.8481464,14.63394,100
113,ABTB3,-3.607995,2.6389146,5.7962837,8.739317,101
114,ACAA1,-5.2792826,11.849779,-4.8171134,11.643514,102
115,ACAA2,16.661583,5.854068,15.312823,4.7974987,103
116,ACACA,4.8740063,4.301052,2.2511504,9.84489,104
117,ACACB,11.463208,0.52813596,11.995094,1.7684871,105
118,ACAD10,-0.6388143,11.369738,-0.7032859,8.531187,106
119,ACAD11,4.0630455,-6.313379,6.0082808,-6.8509398,30
120,ACAD8,-1.0256165,13.667939,-2.5881236,15.189689,107
121,ACAD9,6.9373164,4.8942804,6.135964,3.244964,108
122,ACADL,12.759346,9.144919,12.481004,9.34539,109
123,ACADM,9.321901,-2.0414166,7.6557956,0.25756586,110
124,ACADS,-4.8841968,9.524432,-3.1868424,7.894712,111
125,ACADSB,15.306748,5.9806166,16.062223,4.462643,112
126,ACADVL,-7.003692,4.912021,-7.1448236,3.639555,113
127,ACAN,-3.824424,12.969375,-2.9322317,11.705621,88
128,ACAP1,7.772529,10.907253,8.74012,10.915834,114
129,ACAP2,12.840494,-3.5735946,11.040165,-2.6024897,115
130,ACAP3,-0.2041934,15.404521,-1.2326708,15.5549135,116
131,ACAT1,12.953281,8.507052,12.014701,9.570841,117
132,ACAT2,8.579084,7.0294995,3.643336,6.2469363,118
133,ACBD3,3.6670952,15.418234,4.1480474,17.460167,119
134,ACBD4,-6.781954,0.5584867,1.4853936,4.647882,120
135,ACBD5,7.6193247,-0.029632179,10.678852,3.6638854,121
136,ACBD6,8.732855,10.507084,10.52535,11.54806,122
137,ACBD7,13.4017935,0.95202416,12.548236,-0.23520555,6
138,ACCS,5.7833366,1.700905,5.253563,0.36579153,123
139,ACCSL,9.024878,-2.6689787,10.755219,-0.742419,124
140,ACD,-0.8363428,4.61577,2.2181418,4.2899404,125
141,ACE,12.675836,10.728389,14.254202,11.490316,126
142,ACE2,-0.043074563,-1.1842674,-0.7949898,3.5899646,127
143,ACER1,5.8982472,1.141391,9.216921,4.2352715,128
144,ACER2,2.6864405,14.600059,3.0724328,16.159184,90
145,ACER3,-6.964143,7.81958,-4.742127,7.293512,77
146,ACHE,-1.9784303,-4.482842,-2.4915133,-4.3128934,129
147,ACIN1,7.3423934,8.50381,6.9146614,7.1498117,130
148,ACKR1,-6.9911485,7.8692226,-4.811971,7.3965793,77
149,ACKR2,10.018045,1.8134592,11.738627,3.1618314,131
150,ACKR3,-4.859895,11.943182,-4.5400476,11.6269245,5
151,ACKR4,5.412168,-6.2467628,5.0194592,-6.1237936,34
152,ACLY,3.2807405,1.909945,5.629884,2.4548888,132
153,ACMSD,6.453522,7.873047,5.7325954,6.570256,133
154,ACO1,14.937432,8.949356,14.367294,8.508182,31
155,ACO2,0.38782042,5.337953,-1.4097707,5.335964,134
156,ACOD1,-6.9393,7.7973003,-4.7897925,7.3522596,77
157,ACOT1,12.402573,3.595181,8.721653,4.114101,135
